"Indexcd","Idxtrd01","Idxtrd02","Idxtrd03","Idxtrd04","Idxtrd05","Idxtrd06","Idxtrd07"
"399001","2016-08-01","10289.886","10290.050","10086.645","10185.478","861684.80","12196431.80"
"399001","2016-08-02","10173.341","10250.546","10157.853","10250.546","614258.31","8663897.99"
"399001","2016-08-03","10229.473","10295.756","10205.984","10281.248","710714.27","9788411.36"
"399001","2016-08-04","10272.716","10376.214","10235.697","10366.499","829757.24","11821303.55"
"399001","2016-08-05","10368.797","10420.425","10333.316","10342.279","811335.71","11575855.91"
"399001","2016-08-08","10314.996","10468.885","10259.304","10468.885","888588.22","12040658.33"
"399001","2016-08-09","10466.038","10564.776","10457.823","10564.776","919716.22","13107665.31"
"399001","2016-08-10","10558.486","10594.772","10510.913","10511.159","924016.85","13141522.08"
"399001","2016-08-11","10496.435","10526.349","10390.957","10390.957","891908.50","12459987.24"
"399001","2016-08-12","10373.049","10528.104","10364.467","10528.104","911962.06","12185196.74"
"399001","2016-08-15","10556.400","10862.956","10552.951","10822.106","1615611.03","22605542.37"
"399001","2016-08-16","10845.618","10913.220","10845.070","10882.951","1413581.22","20566335.48"
"399001","2016-08-17","10879.988","10936.578","10832.776","10890.689","1244048.87","17955960.23"
"399001","2016-08-18","10873.650","10946.739","10834.012","10879.197","1315944.21","18104210.31"
"399001","2016-08-19","10865.382","10911.774","10819.798","10872.707","1079834.24","14735142.67"
"399001","2016-08-22","10869.062","10894.840","10731.201","10731.401","1029083.05","14347255.56"
"399001","2016-08-23","10720.503","10793.366","10680.101","10750.294","904393.75","12286563.73"
"399001","2016-08-24","10751.353","10815.256","10732.921","10760.439","877752.03","12140009.58"
"399001","2016-08-25","10694.337","10699.246","10564.364","10679.147","972120.87","13396251.46"
"399001","2016-08-26","10703.316","10785.005","10675.598","10693.751","877873.33","12562989.34"
"399001","2016-08-29","10690.950","10757.262","10682.262","10724.399","765375.10","11173764.02"
"399001","2016-08-30","10732.773","10787.318","10713.751","10729.115","723040.66","10681416.42"
"399001","2016-08-31","10730.547","10776.317","10679.650","10757.876","791101.79","11452815.18"
"399001","2016-09-01","10759.756","10765.508","10669.509","10669.509","829147.61","11886220.41"
"399001","2016-09-02","10666.098","10727.880","10592.083","10640.422","759821.61","11435357.79"
"399001","2016-09-05","10682.715","10756.432","10674.958","10695.453","734427.16","10474943.40"
"399001","2016-09-06","10714.544","10861.499","10623.991","10861.499","1021088.40","15508331.39"
"399001","2016-09-07","10860.119","10903.638","10827.253","10838.715","1051173.36","15190204.09"
"399001","2016-09-08","10830.047","10863.960","10795.868","10851.194","790095.43","11880283.64"
"399001","2016-09-09","10855.290","10877.089","10762.793","10762.793","849725.02","12698190.43"
"399001","2016-09-12","10578.782","10619.888","10460.515","10461.576","1031708.33","14594240.88"
"399001","2016-09-13","10519.022","10545.204","10460.131","10514.584","741057.39","10738735.85"
"399001","2016-09-14","10466.827","10519.958","10425.688","10454.244","663288.29","9920851.74"
"399001","2016-09-19","10476.631","10570.580","10476.631","10557.249","579220.40","8647083.24"
"399001","2016-09-20","10563.045","10563.731","10520.080","10544.525","547102.90","8015251.09"
"399001","2016-09-21","10543.386","10600.685","10538.940","10583.403","602493.31","8715104.86"
"399001","2016-09-22","10644.712","10697.393","10634.462","10662.214","756623.81","10947670.66"
"399001","2016-09-23","10670.590","10679.815","10607.864","10609.695","686202.87","9764169.69"
"399001","2016-09-26","10588.353","10588.510","10392.696","10392.696","790042.71","10830908.70"
"399001","2016-09-27","10375.351","10476.969","10352.022","10476.969","618420.99","8702511.16"
"399001","2016-09-28","10490.046","10492.927","10436.116","10467.160","513469.67","7286357.87"
"399001","2016-09-29","10477.044","10553.016","10477.044","10512.249","555199.51","7941052.80"
"399001","2016-09-30","10504.294","10590.372","10499.471","10567.578","509738.15","7339255.59"
"399001","2016-10-10","10612.208","10741.690","10584.697","10741.690","817191.32","11796365.31"
"399001","2016-10-11","10743.407","10782.309","10727.452","10782.309","857660.15","11146901.62"
"399001","2016-10-12","10751.432","10792.116","10733.308","10788.592","786779.75","10595444.95"
"399001","2016-10-13","10784.740","10818.041","10757.492","10787.489","813923.09","10575890.11"
"399001","2016-10-14","10774.370","10774.370","10692.066","10759.682","739301.61","9896133.88"
"399001","2016-10-17","10770.337","10783.668","10624.816","10651.498","799711.56","10896401.26"
"399001","2016-10-18","10637.689","10797.023","10637.689","10797.023","829011.18","11590975.81"
"399001","2016-10-19","10811.272","10824.406","10733.692","10757.919","833862.99","10981506.28"
"399001","2016-10-20","10763.463","10802.664","10752.915","10784.328","757281.00","10685089.89"
"399001","2016-10-21","10783.560","10802.536","10678.115","10748.898","835833.17","11564431.59"
"399001","2016-10-24","10755.486","10871.164","10740.179","10842.642","931873.10","12605225.66"
"399001","2016-10-25","10846.762","10871.657","10841.198","10871.505","865698.38","12071944.87"
"399001","2016-10-26","10871.239","10871.239","10793.626","10817.511","883077.60","12366627.85"
"399001","2016-10-27","10805.805","10808.144","10745.277","10788.970","722082.39","10154143.44"
"399001","2016-10-28","10783.277","10836.774","10710.928","10711.037","769118.26","10945750.66"
"399001","2016-10-31","10685.358","10719.036","10630.304","10704.304","664795.57","9419486.95"
"399001","2016-11-01","10714.821","10797.061","10706.870","10796.137","669096.28","9567374.98"
"399001","2016-11-02","10771.348","10785.114","10686.939","10692.653","798990.11","11101615.22"
"399001","2016-11-03","10662.164","10804.257","10655.136","10743.963","882866.62","12409087.98"
"399001","2016-11-04","10737.909","10784.836","10684.467","10702.570","743856.09","10571663.18"
"399001","2016-11-07","10704.257","10729.985","10663.557","10695.178","867480.67","10350377.43"
"399001","2016-11-08","10734.067","10785.876","10722.355","10763.126","803507.64","10589729.16"
"399001","2016-11-09","10768.861","10785.089","10575.163","10697.114","1049353.92","13894496.97"
"399001","2016-11-10","10777.097","10848.976","10777.097","10821.663","1009938.92","12578771.86"
"399001","2016-11-11","10823.933","10878.138","10792.830","10878.138","1260125.03","15733443.32"
"399001","2016-11-14","10855.983","10952.608","10847.817","10907.526","1326244.05","16831826.75"
"399001","2016-11-15","10910.145","10958.104","10877.397","10958.104","1063857.17","13936969.96"
"399001","2016-11-16","10970.704","10998.921","10956.871","10968.084","1092181.91","14785427.77"
"399001","2016-11-17","10942.102","10961.800","10887.515","10945.416","852994.28","11810465.94"
"399001","2016-11-18","10946.877","10963.663","10876.914","10889.106","789401.09","10820859.83"
"399001","2016-11-21","10877.076","10955.443","10861.810","10899.917","822985.47","11533009.65"
"399001","2016-11-22","10910.416","10985.603","10910.416","10985.603","957837.81","13126550.92"
"399001","2016-11-23","11010.999","11041.522","10952.001","10973.799","1080089.28","15799610.58"
"399001","2016-11-24","10960.645","11030.123","10947.273","10967.466","1027531.40","14722126.53"
"399001","2016-11-25","10966.362","11036.529","10830.397","11036.529","1028320.37","14732227.70"
