"Indexcd","Idxtrd01","Idxtrd02","Idxtrd03","Idxtrd04","Idxtrd05","Idxtrd06","Idxtrd07"
"000001","2016-07-21","3027.604","3053.334","3027.368","3039.009","1637673.70","20027845.55"
"000001","2016-07-22","3038.118","3039.270","3007.457","3012.816","1620101.81","19751735.04"
"000001","2016-07-25","3008.094","3027.123","3003.292","3015.828","1442065.82","17542200.08"
"000001","2016-07-26","3014.040","3050.615","3013.802","3050.166","1566945.06","18547446.77"
"000001","2016-07-27","3050.368","3057.424","2939.227","2991.999","2801609.15","31681138.89"
"000001","2016-07-28","2980.501","3003.363","2968.182","2994.323","1905649.50","21762699.88"
"000001","2016-07-29","2992.536","3000.055","2972.917","2979.339","1501015.34","17019856.66"
"000001","2016-08-01","2971.949","2972.875","2931.963","2953.385","1474077.63","16237267.43"
"000001","2016-08-02","2950.080","2971.279","2946.637","2971.279","1154689.00","12926687.27"
"000001","2016-08-03","2963.215","2981.156","2956.786","2978.461","1411413.32","15908826.25"
"000001","2016-08-04","2976.410","2982.860","2958.933","2982.426","1339333.01","15330796.35"
"000001","2016-08-05","2978.778","2991.677","2971.564","2976.696","1418571.01","16179598.04"
"000001","2016-08-08","2972.625","3004.718","2959.048","3004.277","1557298.33","17208965.43"
"000001","2016-08-09","3001.306","3025.911","2998.677","3025.681","1699954.46","18771686.53"
"000001","2016-08-10","3023.472","3033.196","3017.090","3018.746","1646751.65","18452518.47"
"000001","2016-08-11","3013.678","3038.048","3001.168","3002.638","1618794.81","17986152.56"
"000001","2016-08-12","3000.273","3051.054","2999.039","3050.667","1681736.57","17930488.52"
"000001","2016-08-15","3056.484","3137.476","3053.871","3125.195","2976165.06","32799112.93"
"000001","2016-08-16","3130.533","3140.441","3102.065","3110.037","2783289.34","30854486.12"
"000001","2016-08-17","3106.991","3114.255","3090.281","3109.555","2138396.37","24340525.06"
"000001","2016-08-18","3107.753","3125.581","3093.317","3104.114","2293590.81","25696967.70"
"000001","2016-08-19","3100.391","3113.344","3082.771","3108.102","1943474.53","21205097.11"
"000001","2016-08-22","3107.381","3112.740","3083.593","3084.805","1853879.27","20763887.45"
"000001","2016-08-23","3081.572","3101.110","3073.529","3089.706","1613689.65","17918348.77"
